id,hour,minute,second,millis,yaw,pressure
3102,15,46,20,4939,11.04,0.0
3103,15,46,20,4941,15.46,0.0
3104,15,46,20,4944,25.84,0.0
3105,15,46,20,4946,1.2,458.0
3106,15,46,20,4948,1.42,254.0
3107,15,46,20,4950,1.4,156.0
3108,15,46,20,4953,-3.51,0.0
3109,15,46,20,4955,-6.94,0.0
3110,15,46,20,4957,-2.13,0.0
3111,15,46,20,4959,5.5,0.0
3112,15,46,20,4961,15.73,0.0
3113,15,46,20,4964,4.82,446.0
3114,15,46,20,4966,-0.15,376.0
3115,15,46,20,4969,-2.66,0.0
3116,15,46,20,4971,-8.94,0.0
3117,15,46,20,4973,2.86,1.0
3118,15,46,20,4976,19.6,0.0
3119,15,46,20,4978,-1.23,585.0
3120,15,46,20,4980,-0.95,342.0
3121,15,46,20,4983,-3.51,0.0
3122,15,46,20,4985,-10.92,0.0
3123,15,46,20,4987,-8.44,0.0
3124,15,46,20,4990,20.79,0.0
3125,15,46,20,4992,3.21,435.0
3126,15,46,20,4994,-5.06,207.0
3127,15,46,20,4996,-3.84,0.0
3128,15,46,20,5070,-7.1,0.0
3129,15,46,20,5171,2.07,0.0
3130,15,46,20,5276,-1.47,780.0
3131,15,46,20,5379,-0.84,815.0
3132,15,46,20,5482,-1.12,797.0
3133,15,46,21,5584,-3.88,566.0
3134,15,46,21,5687,-5.39,241.0
3135,15,46,21,5789,-6.27,0.0
3136,15,46,21,5890,-1.91,0.0
3137,15,46,21,5992,2.25,0.0
3138,15,46,21,6094,8.35,0.0
3139,15,46,21,6199,14.98,0.0
3140,15,46,21,6302,25.59,0.0
3141,15,46,21,6407,-13.3,347.0
3142,15,46,21,6508,0.98,403.0
3143,15,46,22,6612,-2.15,265.0
3144,15,46,22,6712,0.63,0.0
3145,15,46,22,6815,1.01,0.0
3146,15,46,22,6916,5.47,0.0
3147,15,46,22,7021,-12.48,0.0
3148,15,46,22,7125,-16.78,0.0
3149,15,46,22,7228,-10.91,0.0
3150,15,46,22,7330,17.92,0.0
3151,15,46,22,7435,-14.36,650.0
3152,15,46,22,7535,5.25,466.0
3153,15,46,23,7639,-1.59,93.0
3154,15,46,23,7740,-7.58,0.0
3155,15,46,23,7843,-12.32,0.0
3156,15,46,23,7945,-9.98,0.0
3157,15,46,23,8048,-6.85,0.0
3158,15,46,23,8151,-3.08,0.0
3159,15,46,23,8253,2.9,0.0
3160,15,46,23,8357,11.14,0.0
3161,15,46,23,8459,25.59,0.0
3162,15,46,23,8565,-2.35,251.0
3163,15,46,24,8666,0.58,303.0
3164,15,46,24,8769,-0.27,274.0
3165,15,46,24,8870,-9.63,0.0
3166,15,46,24,8973,-10.48,0.0
3167,15,46,24,9076,-9.9,0.0
3168,15,46,24,9177,-6.22,0.0
3169,15,46,24,9279,3.06,0.0
3170,15,46,24,9383,18.6,0.0
3171,15,46,24,9488,-6.48,343.0
3172,15,46,25,9588,-2.23,0.0
3173,15,46,25,9692,-14.59,0.0
3174,15,46,25,9795,-5.9,0.0
3175,15,46,25,9896,9.76,0.0
3176,15,46,25,10002,-20.08,636.0
3177,15,46,25,10104,2.52,351.0
3178,15,46,25,10206,0.87,71.0
3179,15,46,25,10307,0.28,0.0
3180,15,46,25,10412,-12.08,0.0
3181,15,46,25,10515,-12.25,0.0
3182,15,46,26,10616,-8.41,0.0
3183,15,46,26,10719,-5.71,0.0
3184,15,46,26,10820,5.36,0.0
3185,15,46,26,10925,22.25,0.0
3186,15,46,26,11030,-23.55,429.0
3187,15,46,26,11131,2.93,265.0
3188,15,46,26,11233,-8.11,0.0
3189,15,46,26,11336,-10.0,0.0
3190,15,46,26,11438,-4.21,0.0
3191,15,46,26,11541,11.57,1.0
3192,15,46,27,11647,-20.36,498.0
3193,15,46,27,11747,2.52,433.0
3194,15,46,27,11850,0.33,306.0
3195,15,46,27,11951,-2.09,0.0
3196,15,46,27,12055,-9.64,0.0
3197,15,46,27,12158,-10.19,0.0
3198,15,46,27,12259,-3.44,0.0
3199,15,46,27,12363,14.39,0.0
3200,15,46,27,12467,10.7,560.0
3201,15,46,27,12568,2.68,419.0
3202,15,46,28,12672,0.14,265.0
3203,15,46,28,12774,-4.62,0.0
3204,15,46,28,12877,-11.54,0.0
3205,15,46,28,12979,-7.53,0.0
3206,15,46,28,13081,-5.68,0.0
3207,15,46,28,13183,-1.0,0.0
3208,15,46,28,13286,9.37,0.0
3209,15,46,28,13390,25.84,0.0
3210,15,46,28,13493,-1.48,0.0
3211,15,46,29,13595,-9.12,0.0
3212,15,46,29,13698,9.71,0.0
3213,15,46,29,13801,3.31,455.0
3214,15,46,29,13904,-9.43,0.0
3215,15,46,29,14007,-10.23,0.0
3216,15,46,29,14107,6.48,0.0
3217,15,46,29,14215,-17.63,617.0
3218,15,46,29,14316,0.08,204.0
3219,15,46,29,14417,-12.29,0.0
3220,15,46,29,14520,-6.77,0.0
3221,15,46,30,14621,6.22,0.0
3222,15,46,30,14727,-6.96,582.0
3223,15,46,30,14827,-2.9,0.0
3224,15,46,30,14932,-15.14,0.0
3225,15,46,30,15033,-4.93,0.0
3226,15,46,30,15136,12.5,0.0
3227,15,46,30,15239,0.99,466.0
3228,15,46,30,15342,-6.3,0.0
3229,15,46,30,15444,-12.58,0.0
3230,15,46,30,15547,-1.84,0.0
3231,15,46,31,15650,22.51,0.0
3232,15,46,31,15755,-1.29,282.0
3233,15,46,31,15855,-4.98,0.0
3234,15,46,31,15959,-9.15,0.0
3235,15,46,31,16059,0.03,0.0
3236,15,46,31,16164,22.52,0.0
3237,15,46,31,16267,-0.4,180.0
3238,15,46,31,16368,-8.25,0.0
3239,15,46,31,16471,-7.32,0.0
3240,15,46,31,16573,7.28,0.0
3241,15,46,32,16680,-17.87,452.0
3242,15,46,32,16780,3.85,51.0
3243,15,46,32,16882,-9.22,0.0
3244,15,46,32,16985,-4.79,0.0
3245,15,46,32,17088,15.73,1.0
3246,15,46,32,17191,6.19,246.0
3247,15,46,32,17293,-3.33,0.0
3248,15,46,32,17397,-9.72,0.0
3249,15,46,32,17497,-2.12,0.0
3250,15,46,33,17602,23.4,0.0
3251,15,46,33,17703,0.57,0.0
3252,15,46,33,17806,-9.58,0.0
3253,15,46,33,17910,-8.7,0.0
3254,15,46,33,18010,4.35,0.0
3255,15,46,33,18117,18.86,581.0
3256,15,46,33,18217,2.8,62.0
3257,15,46,33,18321,-9.99,0.0
3258,15,46,33,18423,-6.49,0.0
3259,15,46,33,18525,4.48,0.0
3260,15,46,34,18631,11.7,627.0
3261,15,46,34,18730,2.15,0.0
3262,15,46,34,18834,-10.48,0.0
3263,15,46,34,18937,-6.07,0.0
3264,15,46,34,19039,6.59,0.0
3265,15,46,34,19146,-11.37,227.0
3266,15,46,34,19244,-7.58,0.0
3267,15,46,34,19349,-13.63,0.0
3268,15,46,34,19448,7.16,0.0
3269,15,46,34,19554,15.47,0.0
3270,15,46,35,19658,25.84,520.0
3271,15,46,35,19759,3.39,705.0
3272,15,46,35,19863,-1.54,497.0
3273,15,46,35,19966,-0.23,233.0
3274,15,46,35,20066,-3.23,0.0
3275,15,46,35,20169,-7.76,0.0
3276,15,46,35,20271,-0.3,0.0
3277,15,46,35,20374,11.85,0.0
3278,15,46,35,20478,25.84,0.0
3279,15,46,35,20582,6.47,256.0
3280,15,46,36,20684,0.11,394.0
3281,15,46,36,20787,-0.57,437.0
3282,15,46,36,20890,-1.46,358.0
3283,15,46,36,20992,-2.56,138.0
3284,15,46,36,21094,-9.18,0.0
3285,15,46,36,21198,-21.0,0.0
3286,15,46,36,21301,-25.43,0.0
3287,15,46,36,21402,-6.81,0.0
3288,15,46,36,21504,25.84,0.0
3289,15,46,37,21609,3.66,653.0
3290,15,46,37,21712,1.59,625.0
3291,15,46,37,21816,-2.34,420.0
3292,15,46,37,21917,0.23,256.0
3293,15,46,37,22019,-2.24,0.0
3294,15,46,37,22123,-23.68,0.0
3295,15,46,37,22225,-7.1,0.0
3296,15,46,37,22326,4.81,0.0
3297,15,46,37,22430,13.11,0.0
3298,15,46,37,22534,25.84,680.0
3299,15,46,38,22636,3.56,467.0
3300,15,46,38,22740,-0.55,516.0
3301,15,46,38,22841,3.4,470.0
3302,15,46,38,22946,-0.71,356.0
3303,15,46,38,23046,-7.03,0.0
3304,15,46,38,23149,-22.13,0.0
3305,15,46,38,23252,-7.45,0.0
3306,15,46,38,23353,4.53,0.0
3307,15,46,38,23457,15.4,0.0
3308,15,46,38,23561,10.18,269.0
3309,15,46,39,23664,3.21,334.0
3310,15,46,39,23767,-1.38,344.0
3311,15,46,39,23870,1.65,313.0
3312,15,46,39,23970,4.12,0.0
3313,15,46,39,24074,-12.96,0.0
3314,15,46,39,24177,-7.26,0.0
3315,15,46,39,24278,-0.28,0.0
3316,15,46,39,24381,4.49,0.0
3317,15,46,39,24486,19.66,790.0
3318,15,46,40,24589,-0.25,742.0
3319,15,46,40,24692,-1.39,764.0
3320,15,46,40,24794,0.85,719.0
3321,15,46,40,24896,2.59,433.0
3322,15,46,40,24998,-1.29,0.0
3323,15,46,40,25102,-11.33,0.0
3324,15,46,40,25203,-0.12,0.0
3325,15,46,40,25306,10.18,0.0
3326,15,46,40,25408,25.59,0.0
3327,15,46,40,25514,-4.07,398.0
3328,15,46,41,25615,4.03,267.0
3329,15,46,41,25717,0.49,85.0
3330,15,46,41,25820,-1.37,0.0
3331,15,46,41,25923,-8.23,0.0
3332,15,46,41,26025,-25.56,0.0
3333,15,46,41,26128,-3.5,0.0
3334,15,46,41,26230,8.64,0.0
3335,15,46,41,26333,25.04,0.0
3336,15,46,41,26438,-4.91,441.0
3337,15,46,41,26540,3.81,311.0
3338,15,46,42,26643,-0.36,13.0
3339,15,46,42,26744,-3.49,0.0
3340,15,46,42,26848,-11.25,0.0
3341,15,46,42,26951,-25.43,0.0
3342,15,46,42,27053,-7.61,0.0
3343,15,46,42,27154,5.4,0.0
3344,15,46,42,27258,13.24,0.0
3345,15,46,42,27361,25.59,0.0
3346,15,46,42,27464,5.98,105.0
3347,15,46,42,27565,5.53,0.0
3348,15,46,43,27668,0.11,0.0
3349,15,46,43,27771,-2.18,0.0
