id,hour,minute,second,millis,yaw,pressure
3494,15,40,27,5818,-8.58,0.0
3495,15,40,27,5821,-8.35,0.0
3496,15,40,27,5823,2.75,0.0
3497,15,40,27,5825,8.6,0.0
3498,15,40,27,5828,14.23,0.0
3499,15,40,27,5830,20.92,0.0
3500,15,40,27,5833,-5.28,620.0
3501,15,40,27,5835,4.15,404.0
3502,15,40,27,5838,-5.62,176.0
3503,15,40,27,5840,-5.83,0.0
3504,15,40,27,5843,-11.81,0.0
3505,15,40,27,5845,-10.85,0.0
3506,15,40,27,5847,-5.68,0.0
3507,15,40,27,5850,0.42,0.0
3508,15,40,27,5852,1.43,295.0
3509,15,40,27,5855,1.44,688.0
3510,15,40,27,5857,1.83,808.0
3511,15,40,27,5859,1.79,868.0
3512,15,40,27,5862,0.99,889.0
3513,15,40,27,5864,-0.23,901.0
3514,15,40,27,5866,-0.99,818.0
3515,15,40,27,5869,-2.18,0.0
3516,15,40,27,5871,-2.53,0.0
3517,15,40,27,5873,-1.5,0.0
3518,15,40,27,5876,-0.22,0.0
3519,15,40,27,5878,1.16,766.0
3520,15,40,27,5880,0.75,855.0
3521,15,40,27,5883,-2.48,401.0
3522,15,40,27,5885,-3.48,0.0
3523,15,40,27,5887,-1.78,0.0
3524,15,40,27,5894,0.58,0.0
3525,15,40,27,5998,-0.39,0.0
3526,15,40,27,6101,-0.04,0.0
3527,15,40,27,6204,2.47,652.0
3528,15,40,27,6307,2.81,784.0
3529,15,40,27,6411,-0.35,413.0
3530,15,40,28,6511,-1.7,0.0
3531,15,40,28,6614,-0.61,0.0
3532,15,40,28,6717,-0.82,0.0
3533,15,40,28,6818,0.78,0.0
3534,15,40,28,6923,0.76,423.0
3535,15,40,28,7026,1.37,816.0
3536,15,40,28,7130,-0.89,729.0
3537,15,40,28,7230,2.5,0.0
3538,15,40,28,7333,-0.93,0.0
3539,15,40,29,7435,1.05,0.0
3540,15,40,29,7538,10.37,0.0
3541,15,40,29,7642,25.59,0.0
3542,15,40,29,7744,-8.6,0.0
3543,15,40,29,7848,-0.68,0.0
3544,15,40,29,7949,-5.41,0.0
3545,15,40,29,8052,-10.82,0.0
3546,15,40,29,8155,-0.14,0.0
3547,15,40,29,8259,-11.2,0.0
3548,15,40,29,8361,-25.43,0.0
3549,15,40,30,8464,-17.48,0.0
3550,15,40,30,8565,-7.53,0.0
3551,15,40,30,8668,25.59,0.0
3552,15,40,30,8771,25.84,0.0
3553,15,40,30,8874,25.59,0.0
3554,15,40,30,8976,5.93,0.0
3555,15,40,30,9081,-14.16,0.0
3556,15,40,30,9183,-25.68,0.0
3557,15,40,30,9285,-25.68,0.0
3558,15,40,30,9388,-9.85,0.0
3559,15,40,31,9489,8.47,0.0
3560,15,40,31,9592,5.98,0.0
3561,15,40,31,9695,17.43,0.0
3562,15,40,31,9799,26.1,0.0
3563,15,40,31,9901,19.66,0.0
3564,15,40,31,10005,-19.83,0.0
3565,15,40,31,10107,-25.17,0.0
3566,15,40,31,10209,-8.67,0.0
3567,15,40,31,10312,19.28,0.0
3568,15,40,31,10418,-25.43,661.0
3569,15,40,32,10518,4.33,343.0
3570,15,40,32,10620,-2.92,0.0
3571,15,40,32,10723,-10.81,0.0
3572,15,40,32,10826,-10.12,0.0
3573,15,40,32,10929,-8.3,0.0
3574,15,40,32,11031,-5.22,0.0
3575,15,40,32,11133,10.88,0.0
3576,15,40,32,11239,25.59,619.0
3577,15,40,32,11340,-2.78,0.0
3578,15,40,33,11443,-13.29,0.0
3579,15,40,33,11544,25.84,0.0
3580,15,40,33,11648,-0.31,0.0
3581,15,40,33,11751,-13.1,0.0
3582,15,40,33,11852,25.55,0.0
3583,15,40,33,11956,1.26,123.0
3584,15,40,33,12059,-24.5,0.0
3585,15,40,33,12162,17.78,0.0
3586,15,40,33,12264,5.46,148.0
3587,15,40,33,12365,0.95,0.0
3588,15,40,34,12469,-7.36,0.0
3589,15,40,34,12572,-15.42,0.0
3590,15,40,34,12674,5.24,0.0
3591,15,40,34,12777,25.84,0.0
3592,15,40,34,12880,-1.67,0.0
3593,15,40,34,12984,-18.98,0.0
3594,15,40,34,13085,-8.29,0.0
3595,15,40,34,13186,4.06,0.0
3596,15,40,34,13291,25.84,0.0
3597,15,40,34,13395,10.56,73.0
3598,15,40,35,13497,-14.49,0.0
3599,15,40,35,13599,24.71,0.0
3600,15,40,35,13704,14.25,245.0
3601,15,40,35,13805,-20.47,0.0
3602,15,40,35,13908,-16.79,0.0
3603,15,40,35,14010,-5.25,0.0
3604,15,40,35,14113,12.09,0.0
3605,15,40,35,14218,-25.43,662.0
3606,15,40,35,14317,7.89,0.0
3607,15,40,36,14422,-16.35,0.0
3608,15,40,36,14523,-6.5,0.0
3609,15,40,36,14625,8.51,0.0
3610,15,40,36,14729,25.59,0.0
3611,15,40,36,14833,5.44,481.0
3612,15,40,36,14933,2.63,0.0
3613,15,40,36,15037,-17.63,0.0
3614,15,40,36,15141,-18.6,0.0
3615,15,40,36,15242,-4.37,0.0
3616,15,40,36,15344,2.39,0.0
3617,15,40,37,15448,15.44,0.0
3618,15,40,37,15551,17.85,0.0
3619,15,40,37,15652,-8.46,0.0
3620,15,40,37,15756,1.78,0.0
3621,15,40,37,15861,2.47,394.0
3622,15,40,37,15962,-23.31,0.0
3623,15,40,37,16063,7.74,0.0
3624,15,40,37,16169,-25.68,167.0
3625,15,40,37,16271,-15.87,1.0
3626,15,40,37,16372,14.4,0.0
3627,15,40,38,16476,-1.11,0.0
3628,15,40,38,16579,-23.14,0.0
3629,15,40,38,16680,25.84,0.0
3630,15,40,38,16782,9.78,0.0
3631,15,40,38,16887,-22.78,0.0
3632,15,40,38,16989,25.59,0.0
3633,15,40,38,17092,1.33,314.0
3634,15,40,38,17195,-1.73,0.0
3635,15,40,38,17298,-11.45,0.0
3636,15,40,38,17401,-10.59,0.0
3637,15,40,39,17502,-5.07,0.0
3638,15,40,39,17604,2.24,0.0
3639,15,40,39,17708,19.96,0.0
3640,15,40,39,17813,-6.77,142.0
3641,15,40,39,17914,-16.7,0.0
3642,15,40,39,18015,16.61,0.0
3643,15,40,39,18120,9.78,118.0
3644,15,40,39,18222,-21.91,0.0
3645,15,40,39,18325,25.59,0.0
3646,15,40,40,18427,-3.63,0.0
3647,15,40,40,18530,-9.23,0.0
3648,15,40,40,18634,-4.76,510.0
3649,15,40,40,18736,-12.0,0.0
3650,15,40,40,18838,10.38,0.0
3651,15,40,40,18943,17.11,275.0
3652,15,40,40,19045,-13.89,0.0
3653,15,40,40,19146,25.84,0.0
3654,15,40,40,19251,10.87,490.0
3655,15,40,40,19351,-7.85,0.0
3656,15,40,41,19455,-13.44,0.0
3657,15,40,41,19556,23.46,0.0
3658,15,40,41,19662,25.84,596.0
3659,15,40,41,19762,-2.38,0.0
3660,15,40,41,19866,-15.05,1.0
3661,15,40,41,19968,-4.84,0.0
3662,15,40,41,20071,11.7,0.0
3663,15,40,41,20176,-4.49,576.0
3664,15,40,41,20279,-0.43,238.0
3665,15,40,41,20379,-0.25,0.0
3666,15,40,42,20483,-11.53,0.0
3667,15,40,42,20585,-15.27,0.0
3668,15,40,42,20685,9.76,0.0
3669,15,40,42,20792,10.31,601.0
3670,15,40,42,20894,-10.31,0.0
3671,15,40,42,20997,-14.96,0.0
3672,15,40,42,21097,0.75,0.0
3673,15,40,42,21200,14.64,0.0
3674,15,40,42,21305,25.59,389.0
3675,15,40,42,21407,2.89,135.0
3676,15,40,43,21509,-3.04,0.0
3677,15,40,43,21611,2.5,0.0
3678,15,40,43,21713,3.64,0.0
3679,15,40,43,21816,25.59,0.0
3680,15,40,43,21921,2.69,270.0
3681,15,40,43,22023,-2.79,0.0
3682,15,40,43,22126,-18.6,1.0
3683,15,40,43,22229,-25.93,0.0
3684,15,40,43,22332,-18.77,0.0
3685,15,40,44,22433,-1.57,0.0
3686,15,40,44,22536,14.27,0.0
3687,15,40,44,22639,25.59,0.0
3688,15,40,44,22742,22.42,0.0
3689,15,40,44,22843,9.43,0.0
3690,15,40,44,22949,25.84,525.0
3691,15,40,44,23052,-3.98,534.0
3692,15,40,44,23154,-3.84,161.0
3693,15,40,44,23256,-13.98,0.0
3694,15,40,44,23359,-19.98,0.0
3695,15,40,45,23462,-23.59,0.0
3696,15,40,45,23564,-11.13,0.0
3697,15,40,45,23664,3.73,0.0
3698,15,40,45,23767,7.24,0.0
3699,15,40,45,23871,-0.9,0.0
3700,15,40,45,23975,11.77,0.0
3701,15,40,45,24077,25.45,0.0
3702,15,40,45,24181,-9.84,91.0
3703,15,40,45,24283,-1.3,85.0
3704,15,40,45,24386,-3.82,0.0
3705,15,40,46,24490,-16.11,0.0
3706,15,40,46,24592,-18.87,0.0
3707,15,40,46,24693,-7.83,0.0
3708,15,40,46,24794,2.66,0.0
3709,15,40,46,24898,25.59,0.0
3710,15,40,46,25002,7.65,161.0
3711,15,40,46,25104,-7.49,0.0
3712,15,40,46,25207,-5.2,0.0
3713,15,40,46,25310,24.46,0.0
3714,15,40,46,25413,25.59,0.0
3715,15,40,47,25515,26.1,0.0
3716,15,40,47,25620,-1.73,279.0
3717,15,40,47,25721,-7.57,0.0
3718,15,40,47,25825,-19.06,0.0
3719,15,40,47,25927,-25.43,0.0
3720,15,40,47,26030,-18.96,0.0
3721,15,40,47,26131,25.84,0.0
3722,15,40,47,26234,4.42,62.0
3723,15,40,47,26337,-9.4,0.0
3724,15,40,48,26439,7.4,0.0
3725,15,40,48,26543,24.54,0.0
3726,15,40,48,26645,25.84,0.0
3727,15,40,48,26749,17.39,289.0
3728,15,40,48,26849,-5.8,0.0
3729,15,40,48,26954,-15.09,0.0
3730,15,40,48,27057,-25.41,0.0
3731,15,40,48,27160,-21.38,0.0
3732,15,40,48,27262,-10.29,0.0
3733,15,40,48,27364,-0.24,0.0
3734,15,40,49,27465,9.53,0.0
3735,15,40,49,27569,19.01,0.0
3736,15,40,49,27671,25.59,0.0
3737,15,40,49,27777,26.1,600.0
3738,15,40,49,27879,-0.92,315.0
3739,15,40,49,27981,-6.36,0.0
3740,15,40,49,28084,-16.87,0.0
3741,15,40,49,28186,-25.06,1.0
3742,15,40,49,28290,-21.68,0.0
3743,15,40,49,28391,21.08,0.0
3744,15,40,50,28498,-22.29,376.0
3745,15,40,50,28596,-0.43,0.0
3746,15,40,50,28700,-15.97,0.0
3747,15,40,50,28801,1.41,0.0
3748,15,40,50,28905,11.86,0.0
3749,15,40,50,29008,12.33,0.0
3750,15,40,50,29110,25.84,0.0
3751,15,40,50,29212,-4.55,0.0
3752,15,40,50,29316,-8.05,0.0
3753,15,40,50,29419,-19.01,0.0
3754,15,40,51,29521,-13.43,0.0
3755,15,40,51,29624,11.9,0.0
3756,15,40,51,29730,19.49,426.0
3757,15,40,51,29829,-5.22,0.0
3758,15,40,51,29931,-7.9,0.0
3759,15,40,51,30035,18.15,0.0
3760,15,40,51,30136,8.61,0.0
3761,15,40,51,30243,21.76,461.0
3762,15,40,51,30344,3.51,511.0
3763,15,40,52,30446,-0.09,0.0
3764,15,40,52,30549,-15.19,0.0
3765,15,40,52,30652,-10.83,0.0
3766,15,40,52,30753,25.59,0.0
3767,15,40,52,30858,-5.38,375.0
3768,15,40,52,30961,-13.67,0.0
3769,15,40,52,31062,-9.32,0.0
3770,15,40,52,31164,23.04,0.0
3771,15,40,52,31270,18.98,713.0
3772,15,40,52,31371,8.32,684.0
3773,15,40,53,31473,-5.62,0.0
3774,15,40,53,31575,17.49,0.0
3775,15,40,53,31678,-3.39,0.0
3776,15,40,53,31781,25.59,0.0
3777,15,40,53,31883,2.43,0.0
3778,15,40,53,31988,-11.4,0.0
3779,15,40,53,32091,-13.01,0.0
3780,15,40,53,32193,-4.94,0.0
3781,15,40,53,32294,11.48,1.0
3782,15,40,53,32401,-14.8,388.0
3783,15,40,54,32501,-12.65,0.0
3784,15,40,54,32603,13.86,0.0
3785,15,40,54,32707,25.59,51.0
3786,15,40,54,32809,9.93,383.0
3787,15,40,54,32911,-6.75,0.0
3788,15,40,54,33015,-12.7,0.0
3789,15,40,54,33118,-12.07,0.0
3790,15,40,54,33220,14.22,0.0
3791,15,40,54,33325,-15.3,589.0
3792,15,40,55,33426,0.74,304.0
3793,15,40,55,33528,-11.63,0.0
3794,15,40,55,33631,-7.25,0.0
3795,15,40,55,33732,12.57,0.0
3796,15,40,55,33836,25.59,0.0
3797,15,40,55,33938,6.06,0.0
3798,15,40,55,34040,3.63,0.0
3799,15,40,55,34143,-0.05,0.0
3800,15,40,55,34245,0.32,0.0
3801,15,40,55,34348,0.09,0.0
3802,15,40,56,34451,0.38,0.0
3803,15,40,56,34552,0.19,0.0
3804,15,40,56,34656,0.81,0.0
3805,15,40,56,34759,-0.17,0.0
3806,15,40,56,34863,-18.95,0.0
3807,15,40,56,34965,-22.8,0.0
3808,15,40,56,35068,-17.35,0.0
3809,15,40,56,35171,25.84,0.0
3810,15,40,56,35275,2.61,607.0
3811,15,40,56,35377,-14.78,0.0
3812,15,40,57,35479,-11.76,0.0
3813,15,40,57,35582,-0.45,0.0
3814,15,40,57,35684,25.84,0.0
3815,15,40,57,35789,22.23,401.0
3816,15,40,57,35891,-13.42,0.0
3817,15,40,57,35994,-13.16,0.0
3818,15,40,57,36095,-2.92,0.0
3819,15,40,57,36197,15.33,0.0
3820,15,40,57,36303,-10.17,556.0
3821,15,40,57,36403,-0.81,0.0
3822,15,40,58,36507,-12.45,1.0
3823,15,40,58,36609,-3.66,0.0
3824,15,40,58,36713,25.83,608.0
3825,15,40,58,36813,0.14,0.0
3826,15,40,58,36917,-9.82,0.0
3827,15,40,58,37019,17.56,0.0
3828,15,40,58,37123,5.01,47.0
3829,15,40,58,37227,-13.85,0.0
3830,15,40,58,37328,-0.02,0.0
3831,15,40,59,37434,-13.55,190.0
3832,15,40,59,37535,-13.61,0.0
3833,15,40,59,37638,-16.31,0.0
3834,15,40,59,37739,-5.02,0.0
3835,15,40,59,37841,-0.14,0.0
3836,15,40,59,37943,2.11,0.0
3837,15,40,59,38046,0.03,0.0
3838,15,40,59,38148,1.55,0.0
3839,15,40,59,38252,-0.05,0.0
3840,15,40,59,38355,-1.55,0.0
3841,15,41,0,38458,-2.39,0.0
3842,15,41,0,38561,-1.49,0.0
3843,15,41,0,38663,-2.07,0.0
3844,15,41,0,38765,20.72,0.0
3845,15,41,0,38870,25.84,764.0
3846,15,41,0,38973,6.69,590.0
3847,15,41,0,39075,-0.75,557.0
3848,15,41,0,39177,-5.78,0.0
3849,15,41,0,39281,-17.25,0.0
3850,15,41,0,39384,-14.47,0.0
3851,15,41,1,39485,25.84,0.0
3852,15,41,1,39587,-0.41,0.0
3853,15,41,1,39691,-8.03,0.0
3854,15,41,1,39794,-13.38,0.0
3855,15,41,1,39896,22.5,0.0
3856,15,41,1,39998,-7.33,0.0
3857,15,41,1,40101,-7.29,0.0
3858,15,41,1,40204,12.46,0.0
3859,15,41,1,40307,-15.46,0.0
3860,15,41,1,40410,23.08,0.0
3861,15,41,2,40510,4.0,0.0
3862,15,41,2,40615,-14.81,0.0
3863,15,41,2,40718,23.41,0.0
3864,15,41,2,40820,2.21,0.0
3865,15,41,2,40924,-17.03,0.0
3866,15,41,2,41026,24.84,0.0
3867,15,41,2,41128,-4.14,0.0
3868,15,41,2,41232,-22.96,0.0
3869,15,41,2,41335,-21.71,0.0
