id,hour,minute,second,millis,yaw,pressure
142,15,37,30,16881,-7.58,242.0
143,15,37,31,16981,-1.94,0.0
144,15,37,31,17084,-6.24,0.0
145,15,37,31,17187,-11.52,0.0
146,15,37,31,17290,-22.48,0.0
147,15,37,31,17391,0.65,0.0
148,15,37,31,17494,-2.16,0.0
149,15,37,31,17596,3.35,0.0
150,15,37,31,17699,6.64,0.0
151,15,37,31,17802,3.83,0.0
152,15,37,31,17904,18.43,0.0
153,15,37,32,18008,25.84,0.0
154,15,37,32,18111,25.84,0.0
155,15,37,32,18213,25.59,0.0
156,15,37,32,18316,18.25,0.0
157,15,37,32,18418,6.37,0.0
158,15,37,32,18521,-1.38,0.0
159,15,37,32,18625,-10.1,0.0
160,15,37,32,18728,-17.24,0.0
161,15,37,32,18831,-25.43,0.0
162,15,37,33,18932,-25.68,0.0
163,15,37,33,19037,-25.43,0.0
164,15,37,33,19137,-4.87,0.0
165,15,37,33,19240,7.64,0.0
166,15,37,33,19343,14.82,0.0
167,15,37,33,19446,25.84,0.0
168,15,37,33,19549,19.49,0.0
169,15,37,33,19649,9.12,0.0
170,15,37,33,19753,6.88,0.0
171,15,37,33,19856,25.59,0.0
172,15,37,34,19960,-7.8,0.0
173,15,37,34,20062,-15.78,0.0
174,15,37,34,20165,-10.94,0.0
175,15,37,34,20267,-9.44,0.0
176,15,37,34,20370,-9.88,0.0
177,15,37,34,20474,-10.92,0.0
178,15,37,34,20576,-8.18,0.0
179,15,37,34,20677,25.84,0.0
180,15,37,34,20781,25.59,0.0
181,15,37,34,20884,25.59,0.0
182,15,37,35,20987,-7.38,0.0
183,15,37,35,21089,-22.64,0.0
184,15,37,35,21192,-17.48,0.0
185,15,37,35,21295,-14.17,0.0
186,15,37,35,21398,-12.14,0.0
187,15,37,35,21500,-25.93,0.0
188,15,37,35,21604,-20.56,0.0
189,15,37,35,21704,8.18,0.0
190,15,37,35,21808,12.72,0.0
191,15,37,36,21911,14.04,1.0
192,15,37,36,22014,12.01,0.0
193,15,37,36,22117,21.67,0.0
194,15,37,36,22219,25.84,0.0
195,15,37,36,22322,25.59,0.0
196,15,37,36,22425,20.9,0.0
197,15,37,36,22527,20.43,0.0
198,15,37,36,22630,-3.61,0.0
199,15,37,36,22734,-16.54,1.0
200,15,37,36,22837,-22.31,0.0
201,15,37,37,22939,-14.1,0.0
202,15,37,37,23039,1.75,0.0
203,15,37,37,23144,24.02,0.0
204,15,37,37,23246,25.84,0.0
205,15,37,37,23351,-21.75,142.0
206,15,37,37,23452,-4.1,91.0
207,15,37,37,23557,-0.05,112.0
208,15,37,37,23657,-3.35,0.0
209,15,37,37,23760,-14.12,0.0
210,15,37,37,23864,-25.43,0.0
211,15,37,38,23965,-19.25,0.0
212,15,37,38,24068,-9.84,0.0
213,15,37,38,24171,-2.92,0.0
214,15,37,38,24272,1.78,0.0
215,15,37,38,24375,1.47,0.0
216,15,37,38,24478,0.24,0.0
217,15,37,38,24581,-8.2,0.0
218,15,37,38,24683,8.96,0.0
219,15,37,38,24786,25.84,0.0
220,15,37,38,24890,24.86,0.0
221,15,37,39,24992,25.84,0.0
222,15,37,39,25095,-0.23,0.0
223,15,37,39,25199,-17.32,0.0
224,15,37,39,25302,-25.37,0.0
225,15,37,39,25404,-9.02,0.0
226,15,37,39,25505,2.03,0.0
227,15,37,39,25607,22.51,0.0
228,15,37,39,25713,25.59,485.0
229,15,37,39,25815,-11.22,0.0
230,15,37,40,25918,-19.41,0.0
231,15,37,40,26018,7.81,0.0
232,15,37,40,26123,25.59,619.0
233,15,37,40,26224,-6.9,0.0
234,15,37,40,26329,-19.04,0.0
235,15,37,40,26430,-14.72,0.0
236,15,37,40,26532,-9.21,0.0
237,15,37,40,26636,-11.41,0.0
238,15,37,40,26739,-6.89,0.0
239,15,37,40,26840,7.87,0.0
240,15,37,41,26943,25.59,0.0
241,15,37,41,27049,-25.68,306.0
242,15,37,41,27151,2.83,198.0
243,15,37,41,27252,-3.26,0.0
244,15,37,41,27356,-13.18,0.0
245,15,37,41,27458,10.33,0.0
246,15,37,41,27561,-6.41,0.0
247,15,37,41,27663,-11.42,0.0
248,15,37,41,27766,-0.03,0.0
249,15,37,41,27868,24.39,0.0
250,15,37,42,27969,2.31,0.0
251,15,37,42,28075,-11.23,0.0
252,15,37,42,28178,-23.3,0.0
253,15,37,42,28281,-25.93,0.0
254,15,37,42,28382,-3.41,0.0
255,15,37,42,28485,14.26,0.0
256,15,37,42,28588,24.27,0.0
257,15,37,42,28693,-3.16,257.0
258,15,37,42,28793,-2.7,0.0
259,15,37,42,28895,-4.8,0.0
260,15,37,43,28998,-3.25,0.0
261,15,37,43,29100,6.45,0.0
262,15,37,43,29204,25.59,0.0
263,15,37,43,29305,5.38,0.0
264,15,37,43,29410,-10.06,0.0
265,15,37,43,29513,-24.22,0.0
266,15,37,43,29615,-25.68,0.0
267,15,37,43,29718,-22.42,0.0
268,15,37,43,29819,0.47,0.0
269,15,37,44,29923,21.05,0.0
270,15,37,44,30025,25.84,0.0
271,15,37,44,30129,25.84,87.0
272,15,37,44,30231,-3.15,0.0
273,15,37,44,30334,-2.62,94.0
274,15,37,44,30436,-4.22,0.0
275,15,37,44,30539,-17.73,0.0
276,15,37,44,30642,-24.55,0.0
277,15,37,44,30745,-19.91,0.0
278,15,37,44,30847,-6.01,0.0
279,15,37,45,30949,7.89,0.0
280,15,37,45,31052,25.59,0.0
281,15,37,45,31156,4.79,441.0
282,15,37,45,31259,0.92,372.0
283,15,37,45,31361,-2.0,72.0
284,15,37,45,31463,-8.95,0.0
285,15,37,45,31566,-5.01,0.0
286,15,37,45,31667,4.64,0.0
287,15,37,45,31772,12.83,0.0
288,15,37,45,31873,15.32,0.0
289,15,37,46,31977,-8.52,0.0
290,15,37,46,32080,-25.35,0.0
291,15,37,46,32183,-11.77,0.0
292,15,37,46,32285,-2.63,0.0
293,15,37,46,32388,-1.82,0.0
294,15,37,46,32489,8.25,0.0
295,15,37,46,32593,25.84,0.0
296,15,37,46,32697,6.04,262.0
297,15,37,46,32799,1.27,146.0
298,15,37,46,32901,-6.52,0.0
299,15,37,47,33004,-12.69,0.0
300,15,37,47,33107,-12.64,0.0
301,15,37,47,33210,-5.28,0.0
302,15,37,47,33312,11.77,0.0
303,15,37,47,33417,25.84,706.0
304,15,37,47,33519,3.73,216.0
305,15,37,47,33621,0.27,117.0
306,15,37,47,33724,-8.64,0.0
307,15,37,47,33826,-9.11,0.0
308,15,37,48,33929,14.17,0.0
309,15,37,48,34031,22.47,0.0
310,15,37,48,34135,25.84,0.0
311,15,37,48,34237,25.59,0.0
312,15,37,48,34342,-0.17,170.0
313,15,37,48,34442,-2.01,0.0
314,15,37,48,34545,-5.91,0.0
315,15,37,48,34648,-20.51,0.0
316,15,37,48,34751,-25.43,0.0
317,15,37,48,34854,-25.43,0.0
318,15,37,49,34957,-15.88,0.0
319,15,37,49,35059,-4.04,0.0
320,15,37,49,35161,5.81,0.0
321,15,37,49,35263,4.62,0.0
322,15,37,49,35365,4.52,0.0
323,15,37,49,35470,14.79,0.0
324,15,37,49,35572,22.71,0.0
325,15,37,49,35674,19.3,0.0
326,15,37,49,35777,25.59,0.0
327,15,37,49,35882,5.97,637.0
328,15,37,50,35985,-3.32,713.0
329,15,37,50,36088,-1.19,420.0
330,15,37,50,36189,-11.76,0.0
331,15,37,50,36292,-25.43,0.0
332,15,37,50,36395,-25.43,0.0
333,15,37,50,36498,-16.37,0.0
334,15,37,50,36600,-2.5,0.0
335,15,37,50,36701,4.07,0.0
336,15,37,50,36803,7.83,0.0
337,15,37,51,36907,10.81,0.0
338,15,37,51,37010,13.48,0.0
339,15,37,51,37114,21.24,0.0
340,15,37,51,37216,24.02,1.0
341,15,37,51,37319,11.15,0.0
342,15,37,51,37421,18.44,0.0
343,15,37,51,37527,-16.0,390.0
344,15,37,51,37629,-0.52,462.0
345,15,37,51,37731,-1.7,264.0
346,15,37,51,37833,-7.56,0.0
347,15,37,52,37935,-19.66,0.0
348,15,37,52,38038,-23.32,0.0
349,15,37,52,38141,-22.98,0.0
350,15,37,52,38245,-14.48,0.0
351,15,37,52,38346,-7.71,0.0
352,15,37,52,38449,-0.95,0.0
353,15,37,52,38550,3.66,0.0
354,15,37,52,38653,6.0,0.0
355,15,37,52,38756,16.15,0.0
356,15,37,52,38859,25.59,0.0
357,15,37,53,38963,4.31,457.0
358,15,37,53,39066,0.92,261.0
359,15,37,53,39168,-4.46,0.0
360,15,37,53,39271,-10.3,0.0
361,15,37,53,39372,-9.91,1.0
362,15,37,53,39476,-8.93,0.0
363,15,37,53,39579,-6.31,0.0
364,15,37,53,39680,0.88,0.0
365,15,37,53,39785,21.32,0.0
366,15,37,53,39886,25.84,0.0
367,15,37,54,39989,22.87,0.0
368,15,37,54,40091,25.59,0.0
369,15,37,54,40194,8.05,0.0
370,15,37,54,40298,-0.11,0.0
371,15,37,54,40399,-1.19,0.0
372,15,37,54,40503,-7.28,0.0
373,15,37,54,40606,-12.18,0.0
374,15,37,54,40710,-19.41,0.0
375,15,37,54,40811,-25.68,0.0
376,15,37,55,40915,-25.43,0.0
377,15,37,55,41017,-8.02,1.0
378,15,37,55,41118,4.74,0.0
379,15,37,55,41221,6.7,0.0
380,15,37,55,41325,10.89,0.0
381,15,37,55,41427,25.59,0.0
382,15,37,55,41532,-7.91,425.0
383,15,37,55,41634,-0.73,455.0
384,15,37,55,41738,-2.59,438.0
385,15,37,55,41841,-1.31,264.0
386,15,37,56,41940,2.3,0.0
387,15,37,56,42043,-2.59,0.0
388,15,37,56,42148,-11.34,0.0
389,15,37,56,42250,-14.06,0.0
390,15,37,56,42353,-10.32,0.0
391,15,37,56,42454,1.88,0.0
392,15,37,56,42557,24.63,0.0
393,15,37,56,42661,-9.36,284.0
394,15,37,56,42762,1.06,0.0
395,15,37,56,42866,-14.8,0.0
396,15,37,57,42969,-14.39,0.0
397,15,37,57,43073,-13.46,0.0
398,15,37,57,43173,-3.78,0.0
399,15,37,57,43277,12.18,0.0
400,15,37,57,43378,25.59,0.0
401,15,37,57,43483,4.7,286.0
402,15,37,57,43586,-11.61,0.0
403,15,37,57,43687,-13.19,0.0
404,15,37,57,43790,14.3,0.0
