id,hour,minute,second,millis,yaw,pressure
0,15,44,8,321,-0.72,0.0
1,15,44,8,324,-0.72,0.0
2,15,44,8,324,-0.72,0.0
3,15,44,8,325,-0.72,0.0
4,15,44,8,325,-0.72,0.0
5,15,44,8,326,-0.72,0.0
6,15,44,8,329,-0.72,0.0
7,15,44,8,329,-0.72,0.0
8,15,44,8,330,-0.72,0.0
9,15,44,8,331,-0.72,0.0
10,15,44,8,331,-0.72,0.0
11,15,44,8,332,-0.72,0.0
12,15,44,10,2325,NaN,0.0
13,15,44,10,2422,-11.65,0.0
14,15,44,10,2523,-4.66,0.0
15,15,44,10,2624,6.28,0.0
16,15,44,10,2729,14.53,0.0
17,15,44,10,2834,-22.71,110.0
18,15,44,10,2938,4.22,494.0
19,15,44,10,3039,-4.29,219.0
20,15,44,10,3139,-4.27,0.0
21,15,44,11,3243,-8.48,0.0
22,15,44,11,3345,-0.75,0.0
23,15,44,11,3448,14.4,0.0
24,15,44,11,3552,-9.99,657.0
25,15,44,11,3654,5.24,511.0
26,15,44,11,3755,-4.72,0.0
27,15,44,11,3859,-6.43,0.0
28,15,44,11,3962,-5.21,0.0
29,15,44,11,4063,3.47,0.0
30,15,44,12,4167,12.39,0.0
31,15,44,12,4270,0.96,430.0
32,15,44,12,4374,-0.16,152.0
33,15,44,12,4476,-9.59,0.0
34,15,44,12,4579,-11.01,0.0
35,15,44,12,4679,4.85,0.0
36,15,44,12,4784,25.59,0.0
37,15,44,12,4886,2.44,68.0
38,15,44,12,4990,-2.45,84.0
39,15,44,12,5091,-6.12,0.0
40,15,44,13,5195,-18.15,0.0
41,15,44,13,5296,3.37,0.0
42,15,44,13,5399,20.66,0.0
43,15,44,13,5502,17.89,50.0
44,15,44,13,5604,2.95,0.0
45,15,44,13,5708,-7.05,0.0
46,15,44,13,5810,-6.99,0.0
47,15,44,13,5913,10.03,0.0
48,15,44,13,6017,-21.41,70.0
49,15,44,13,6118,3.91,0.0
50,15,44,14,6222,-1.82,0.0
51,15,44,14,6323,-9.24,0.0
52,15,44,14,6427,-3.8,0.0
53,15,44,14,6530,11.21,0.0
54,15,44,14,6631,4.03,0.0
55,15,44,14,6734,-3.4,0.0
56,15,44,14,6837,7.42,0.0
57,15,44,14,6940,1.05,88.0
58,15,44,14,7043,-7.96,0.0
59,15,44,14,7145,12.9,0.0
60,15,44,15,7248,-6.21,0.0
61,15,44,15,7351,-10.27,0.0
62,15,44,15,7454,16.42,0.0
63,15,44,15,7556,-8.93,0.0
64,15,44,15,7658,8.0,0.0
65,15,44,15,7765,-15.41,178.0
66,15,44,15,7865,-14.1,0.0
67,15,44,15,7967,25.84,0.0
68,15,44,15,8072,-10.91,0.0
69,15,44,16,8172,-1.12,0.0
70,15,44,16,8275,-6.87,0.0
71,15,44,16,8378,-1.07,0.0
72,15,44,16,8483,-8.09,242.0
73,15,44,16,8582,0.49,0.0
74,15,44,16,8688,-7.25,414.0
75,15,44,16,8788,2.25,0.0
76,15,44,16,8894,-7.42,535.0
77,15,44,16,8994,0.47,0.0
78,15,44,16,9097,2.98,589.0
79,15,44,17,9199,3.69,0.0
80,15,44,17,9302,23.51,0.0
81,15,44,17,9405,16.06,0.0
82,15,44,17,9506,1.58,0.0
83,15,44,17,9613,-2.87,701.0
84,15,44,17,9713,-1.49,0.0
85,15,44,17,9814,9.44,0.0
86,15,44,17,9918,-5.37,0.0
87,15,44,17,10022,-6.41,0.0
88,15,44,17,10126,13.59,499.0
89,15,44,18,10227,-5.15,0.0
90,15,44,18,10329,13.59,0.0
91,15,44,18,10432,-5.88,1.0
92,15,44,18,10534,9.83,0.0
93,15,44,18,10637,-5.21,0.0
94,15,44,18,10740,-5.47,0.0
95,15,44,18,10844,2.76,568.0
96,15,44,18,10946,-5.14,1.0
97,15,44,18,11047,7.09,0.0
98,15,44,18,11151,-5.89,0.0
99,15,44,19,11252,0.31,0.0
100,15,44,19,11355,6.54,0.0
101,15,44,19,11458,1.52,0.0
102,15,44,19,11563,7.7,127.0
103,15,44,19,11664,-1.49,0.0
104,15,44,19,11768,7.07,370.0
105,15,44,19,11870,-7.55,0.0
106,15,44,19,11974,-11.71,0.0
107,15,44,19,12077,-12.79,0.0
108,15,44,20,12178,-0.38,0.0
109,15,44,20,12281,26.1,0.0
110,15,44,20,12386,-15.28,233.0
111,15,44,20,12485,1.36,0.0
112,15,44,20,12590,-12.66,0.0
113,15,44,20,12692,-5.3,0.0
114,15,44,20,12795,19.65,0.0
115,15,44,20,12898,-3.49,0.0
116,15,44,20,13000,-1.74,0.0
117,15,44,20,13101,4.73,0.0
118,15,44,21,13206,-0.19,0.0
119,15,44,21,13309,-12.62,0.0
120,15,44,21,13411,20.37,0.0
121,15,44,21,13514,-1.07,0.0
122,15,44,21,13617,-9.73,0.0
123,15,44,21,13719,14.86,0.0
124,15,44,21,13822,4.53,76.0
125,15,44,21,13924,-0.33,0.0
126,15,44,21,14026,-8.86,0.0
127,15,44,21,14129,19.57,1.0
128,15,44,22,14234,1.97,137.0
129,15,44,22,14334,-2.82,0.0
130,15,44,22,14438,-8.98,0.0
131,15,44,22,14541,-2.14,0.0
132,15,44,22,14644,0.11,464.0
133,15,44,22,14745,-0.2,0.0
134,15,44,22,14849,-3.72,0.0
135,15,44,22,14955,-12.45,318.0
136,15,44,22,15055,-3.52,0.0
137,15,44,22,15157,-0.73,0.0
138,15,44,23,15261,0.13,206.0
139,15,44,23,15362,-6.17,0.0
140,15,44,23,15464,-8.49,0.0
141,15,44,23,15567,-3.51,0.0
142,15,44,23,15672,-1.24,600.0
143,15,44,23,15774,3.74,267.0
